,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4078,1,0,1,1,22,1,0,0,2,0,2,2,2,0,1,1,0,67.5,980,1
3148,0,0,0,0,47,1,0,1,2,0,0,0,0,0,0,0,1,75.45,3071,0
1473,0,0,0,0,24,1,2,1,0,0,2,0,2,2,0,1,2,98.75,2053,1
2244,0,0,0,0,34,1,2,0,2,2,0,2,0,0,1,1,3,64.4,1716,1
725,1,1,1,0,9,1,0,2,1,1,1,1,1,1,0,1,3,21.25,1672,0
3995,1,0,0,1,28,1,0,1,2,0,0,0,0,0,0,1,0,74.9,1692,1
49,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3625,0
6406,0,0,0,0,39,0,1,0,0,0,2,0,2,2,0,1,1,50.65,1504,0
887,0,1,0,0,27,1,2,1,2,2,2,0,2,2,1,1,0,110.5,2467,0
6159,0,0,0,1,2,1,0,2,1,1,1,1,1,1,1,0,0,20.5,3256,0
5033,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1482,0
6357,1,0,1,0,65,1,2,1,2,2,2,0,0,0,1,0,2,89.75,4761,1
516,0,0,0,0,28,1,0,0,2,0,0,2,0,0,1,0,3,54.3,982,0
3000,1,0,0,0,12,1,2,1,0,0,0,0,2,0,0,1,2,84.45,114,1
139,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510,1
3003,1,0,0,1,27,1,2,1,0,0,0,2,0,0,0,1,2,79.5,1795,1
3979,1,0,1,1,66,1,2,2,1,1,1,1,1,1,2,1,1,25.3,1159,0
6400,0,0,0,0,72,1,2,0,2,2,0,0,0,0,2,0,0,59.75,3636,0
6446,1,1,1,1,58,1,2,1,2,2,0,2,0,0,1,1,0,89.85,4316,0
463,1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,5337,1
4329,0,0,1,1,17,1,2,1,2,0,2,0,2,0,0,0,2,94.4,1064,1
1233,0,0,1,1,70,1,2,2,1,1,1,1,1,1,2,0,0,24.7,1180,0
594,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.6,3820,0
450,0,0,0,0,64,1,2,2,1,1,1,1,1,1,1,0,3,24.7,1119,0
3768,0,0,1,0,55,1,2,1,0,2,0,0,0,0,0,1,1,77.75,3637,0
3214,1,1,0,0,51,1,2,1,0,2,0,0,0,0,1,1,0,79.6,3398,0
5798,0,0,0,0,5,1,2,1,0,0,0,0,2,0,0,1,2,85.2,4008,1
312,0,0,0,0,43,1,2,1,2,2,2,2,2,2,2,0,1,115.05,4134,0
3411,1,1,1,0,53,1,2,1,0,2,0,0,2,2,0,1,2,101.9,4601,1
4245,1,0,1,1,63,1,0,2,1,1,1,1,1,1,2,0,3,19.7,508,0
6672,1,0,0,0,27,1,0,2,1,1,1,1,1,1,2,0,1,20.35,4443,0
451,0,1,0,0,22,1,0,0,2,0,2,2,0,2,0,1,3,69.75,981,0
5686,1,1,0,0,6,1,0,1,2,0,0,0,2,0,0,1,0,85.15,4260,1
890,1,0,1,1,31,1,2,1,2,0,2,2,0,0,0,0,2,89.3,2443,0
2763,1,0,1,1,64,1,0,1,2,2,0,0,0,0,0,0,2,81.05,4321,0
4320,1,0,1,0,71,1,0,2,1,1,1,1,1,1,1,0,2,20.85,970,0
1506,1,0,1,0,68,0,1,0,2,0,2,0,2,2,2,1,0,54.1,3252,0
6909,0,0,1,0,1,1,0,0,2,2,0,0,0,0,0,1,3,53.55,4433,0
6587,1,1,0,0,64,1,2,1,2,2,0,0,2,2,0,1,0,103.5,5233,0
999,1,0,0,0,2,1,0,0,0,0,0,2,2,2,0,0,2,70.3,585,0
389,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,44.0,3734,0
2330,1,0,1,1,28,1,2,0,0,2,0,0,0,2,0,0,2,64.4,1351,0
1476,1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,20.25,3115,0
2240,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,89.55,5185,0
6327,1,0,0,0,28,1,0,1,0,2,0,2,2,0,1,1,0,91.25,2132,0
6337,0,0,1,1,55,1,2,1,2,0,0,0,2,2,1,0,3,100.9,4527,0
5875,0,0,1,0,65,1,0,0,2,2,2,0,0,2,2,0,0,71.0,3724,0
5938,1,1,1,1,34,1,2,1,0,2,2,2,2,2,0,1,2,108.9,3133,0
2775,1,1,1,0,53,1,2,0,2,0,0,2,0,0,1,1,2,60.05,2806,1
1923,1,0,1,1,37,1,0,2,1,1,1,1,1,1,2,0,0,19.8,5646,0
758,0,0,0,1,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,494,1
6595,1,0,1,0,71,1,0,0,2,0,2,2,2,2,2,1,2,82.55,4808,0
6161,1,0,0,0,7,1,0,1,2,0,0,0,0,0,0,0,3,74.35,4456,0
1293,1,0,1,1,67,1,2,1,0,2,2,2,2,2,2,1,0,111.2,5787,0
6206,1,0,1,0,52,1,2,1,0,2,0,2,0,2,0,1,1,95.65,4297,0
6913,0,0,1,1,69,1,2,1,0,2,2,2,2,2,1,1,0,108.75,5766,0
3268,1,0,1,1,24,1,2,0,2,0,0,0,2,2,1,0,3,74.8,1376,0
1907,0,0,0,0,7,1,0,0,2,2,0,2,2,2,0,1,2,78.5,4711,0
5641,1,0,0,1,39,1,2,2,1,1,1,1,1,1,1,0,0,25.45,6463,0
4880,1,0,1,0,50,1,0,2,1,1,1,1,1,1,2,0,3,20.55,130,0
368,1,0,1,0,71,1,2,1,0,0,2,0,2,2,1,1,1,98.65,5482,0
1937,0,0,1,1,13,1,0,2,1,1,1,1,1,1,2,0,3,19.55,2294,0
1151,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,18.85,1343,0
4461,1,0,0,0,29,1,0,1,0,0,0,2,2,2,0,1,2,94.2,2257,0
6666,0,1,1,0,27,1,2,0,0,2,2,2,2,2,0,0,2,83.85,1948,0
6928,1,0,1,1,48,1,0,0,0,2,2,0,0,0,1,1,1,55.8,2300,0
191,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,4440,1
6069,1,0,1,1,59,1,0,0,0,2,2,2,2,2,1,0,1,76.75,3871,0
5762,1,1,1,0,30,1,2,1,2,2,2,2,2,0,0,1,0,105.7,2765,0
174,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5230,0
1903,1,0,0,0,3,1,0,1,0,0,0,0,2,2,0,1,2,92.0,2313,0
1099,1,0,1,1,5,1,2,0,0,0,0,2,0,0,0,1,3,55.7,2240,0
4661,0,0,1,1,70,1,2,0,2,2,2,2,2,2,2,1,0,89.0,5084,0
2927,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,5454,0
2292,0,0,1,1,54,1,2,0,2,2,2,2,2,2,2,0,1,91.3,4201,0
6225,1,0,1,1,72,1,2,1,2,2,2,2,2,0,2,1,1,106.1,5798,0
6850,1,0,0,1,66,1,2,0,2,2,0,2,0,0,2,0,0,65.7,3717,0
3946,0,0,0,0,9,0,1,0,2,0,2,2,2,2,0,0,3,58.5,4483,1
6052,0,0,1,1,41,1,0,0,2,2,0,2,2,2,2,0,2,78.45,2716,0
1164,0,1,1,0,71,1,2,0,2,2,2,2,0,2,2,1,0,82.7,4806,0
3767,1,0,1,0,72,1,2,1,2,0,2,2,2,2,2,1,1,110.9,6109,0
4031,0,0,1,0,72,1,2,1,0,2,2,2,2,2,2,1,0,110.45,6004,0
2939,1,1,0,0,12,1,0,1,0,2,2,2,0,0,0,1,3,83.8,62,1
5241,1,0,0,0,55,1,0,0,0,2,0,2,0,2,1,1,2,64.2,3136,0
4975,1,0,1,0,72,1,2,1,0,2,2,0,2,2,2,1,0,103.75,5692,0
1661,0,1,1,0,65,1,2,1,0,2,2,0,2,2,0,1,0,108.8,5558,0
508,0,0,1,1,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,4252,1
166,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373,1
4266,1,0,0,0,62,1,2,1,2,2,0,2,0,2,1,0,2,102.0,5222,1
4834,1,0,1,1,67,1,2,2,1,1,1,1,1,1,2,0,0,24.65,1090,0
4240,1,0,0,0,8,1,2,1,0,2,2,0,2,0,0,1,2,94.0,5885,1
4742,1,0,0,0,72,1,0,2,1,1,1,1,1,1,2,1,3,20.8,944,0
103,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2630,0
5430,1,0,0,0,10,1,2,0,0,0,0,0,2,2,0,1,1,72.15,5991,1
4258,0,1,1,0,43,1,2,1,2,0,2,2,2,2,1,1,3,109.55,4081,1
4241,0,0,1,1,22,1,0,0,2,2,2,0,0,0,0,0,3,61.15,774,1
3795,1,0,0,0,12,1,0,1,0,0,0,0,2,0,0,1,2,81.45,6350,0
5386,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,45.8,3702,0
1752,1,0,1,0,27,1,0,0,2,0,0,0,0,0,1,0,1,48.7,772,0
6286,0,0,0,1,8,1,0,2,1,1,1,1,1,1,0,0,3,20.05,1103,0
6688,0,0,1,1,12,1,0,2,1,1,1,1,1,1,2,0,0,20.3,1876,0
2899,1,0,0,0,71,0,1,0,2,2,2,2,2,0,2,0,0,53.95,3328,0
1658,1,0,1,1,50,1,2,1,2,0,2,0,2,2,0,0,1,105.95,4462,1
152,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5988,0
4102,1,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,2,44.75,2891,0
2483,1,1,1,1,46,1,2,1,2,2,2,0,2,0,0,1,2,100.7,3870,1
1583,0,0,1,1,6,1,2,0,0,0,0,0,0,0,0,1,1,48.95,2375,0
5923,0,0,0,0,6,1,0,1,0,0,2,2,0,2,0,1,2,89.25,4112,0
2552,0,0,1,0,47,1,2,2,1,1,1,1,1,1,1,0,2,26.9,458,0
6990,1,0,1,0,36,1,0,1,2,0,0,0,2,2,0,1,2,93.6,2922,0
4624,1,0,0,0,8,1,0,1,0,0,2,0,2,2,0,1,2,94.7,5727,1
3583,1,0,1,1,40,0,1,0,0,2,2,2,2,2,1,0,3,60.3,2099,0
5166,1,0,0,0,61,1,2,1,2,0,2,0,2,2,1,0,2,104.0,5131,0
2941,1,0,1,0,72,1,2,1,2,2,2,0,2,0,2,1,1,97.95,5584,0
6147,0,1,1,0,39,1,0,1,2,2,0,0,2,2,1,0,3,99.1,3318,0
2209,1,0,1,0,8,1,0,2,1,1,1,1,1,1,0,1,0,19.55,1066,0
4326,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.1,6296,1
4233,0,0,1,0,33,0,1,0,2,0,2,2,2,2,2,0,0,59.55,1645,0
1822,0,0,0,1,31,1,2,1,0,0,0,0,2,0,0,1,1,86.55,2344,1
5428,0,0,1,0,9,1,0,1,0,0,0,0,2,2,0,0,2,89.45,6221,1
3935,0,0,1,0,70,1,0,2,1,1,1,1,1,1,2,0,1,19.85,597,0
4220,1,0,1,1,55,1,0,2,1,1,1,1,1,1,1,0,3,19.5,57,0
4454,1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,19.4,6391,0
309,1,0,0,1,48,1,2,0,2,0,2,0,2,2,1,1,1,78.75,3173,0
212,1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,237,0
3497,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.3,957,0
4213,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,1,0,50.8,2488,1
5880,1,0,0,0,3,0,1,0,0,2,0,0,0,0,0,1,2,29.6,5967,1
495,1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,6333,1
205,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2336,0
1434,1,0,0,0,12,1,2,1,0,0,0,2,2,2,0,1,3,99.95,260,1
1135,0,1,1,0,72,1,2,1,2,2,2,2,2,2,2,1,0,114.65,6152,0
2584,0,0,1,0,58,1,0,0,2,2,0,0,2,0,0,1,1,65.25,3251,0
868,1,0,1,0,59,1,2,1,0,0,0,0,0,2,1,0,2,85.55,4296,1
2749,1,0,1,1,34,1,2,0,0,0,2,0,2,2,1,0,0,77.2,2392,0
305,1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.8,417,0
1849,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,2,45.55,3440,1
3121,0,1,0,0,16,1,0,0,0,0,0,2,2,0,0,0,2,59.4,49,1
1988,1,1,1,0,58,1,2,1,2,2,2,0,2,2,1,1,2,108.85,5079,1
2798,1,0,0,0,10,1,0,1,0,0,2,0,2,2,0,1,2,94.9,93,1
6889,1,0,0,0,3,1,0,1,0,0,2,2,2,0,0,1,3,89.85,2087,0
1534,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,1,19.8,805,0
843,0,0,0,0,13,0,1,0,2,0,0,0,0,0,0,1,0,30.85,3366,0
1987,0,0,1,1,25,1,0,1,0,2,2,0,2,0,0,1,0,89.15,1891,1
5629,1,1,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,1607,1
4725,1,0,0,0,1,1,2,0,0,0,2,2,0,0,0,0,3,62.05,5040,1
3552,1,0,0,0,68,1,2,1,2,2,2,0,0,2,2,1,0,102.1,5601,0
383,1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,6327,1
1538,1,0,0,0,8,1,2,1,0,2,0,0,2,2,0,0,2,100.85,6095,1
211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,2152,0
1957,0,0,1,0,46,1,2,0,2,0,0,0,0,0,0,0,2,53.1,2106,0
4601,1,0,0,0,45,1,2,1,0,0,2,2,2,2,0,1,0,103.65,4017,0
2438,0,0,0,0,8,1,2,1,2,0,0,2,2,2,0,1,0,103.35,6198,1
2727,1,0,0,0,5,1,2,1,0,0,0,0,2,2,0,1,0,94.85,3922,1
3257,1,0,0,0,22,1,0,1,0,2,0,0,2,2,0,1,3,93.2,1771,0
3787,0,0,0,0,58,1,0,1,0,0,0,2,2,2,0,1,2,95.3,4797,0
1349,0,0,1,0,51,0,1,0,0,2,0,0,2,2,0,1,2,49.65,2210,0
4402,1,0,0,0,39,0,1,0,2,2,0,2,2,0,0,1,1,48.95,1455,1
2984,0,0,1,0,26,1,2,2,1,1,1,1,1,1,1,0,3,26.0,5398,0
5385,1,0,0,0,53,1,2,1,0,0,0,0,2,0,0,0,0,85.45,3842,1
680,1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,6013,1
180,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507,1
6702,1,0,1,1,18,1,0,1,0,0,0,2,0,2,0,1,2,85.6,1062,0
6723,1,0,0,0,46,1,0,2,1,1,1,1,1,1,2,0,0,20.05,6331,0
6504,1,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,2,79.25,2325,1
6068,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,1,2,44.55,4055,1
278,1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,55.0,5873,0
2970,1,1,0,0,5,1,0,1,0,0,0,0,0,0,0,1,3,70.25,2877,1
6701,1,0,1,1,28,1,0,1,0,2,2,0,2,2,1,0,0,100.35,2424,0
2480,1,1,1,0,59,1,2,1,0,0,0,0,2,2,0,1,0,93.85,4618,1
289,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,3698,1
4370,0,0,1,0,21,1,0,0,2,0,2,2,2,2,1,0,3,80.9,1217,0
5284,0,1,0,0,5,0,1,0,0,0,0,0,2,2,0,0,2,45.7,1582,1
993,0,0,1,1,10,1,2,2,1,1,1,1,1,1,2,0,1,26.1,1884,0
2236,1,1,0,0,5,1,0,1,0,0,0,0,0,0,0,1,3,71.45,3199,0
5438,1,0,1,0,9,1,0,1,0,2,2,0,0,0,0,1,2,79.9,5734,1
39,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202,1
4963,1,0,1,0,47,1,0,0,0,2,2,0,2,2,2,0,2,73.6,3054,0
2754,1,0,0,0,3,0,1,0,2,0,2,2,0,0,0,0,3,41.35,135,0
5643,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,2,75.9,5778,1
3722,1,0,0,1,23,0,1,0,2,2,0,2,0,0,1,0,0,40.65,6435,0
270,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,930,1
3002,1,0,0,0,27,1,0,0,2,0,2,2,2,2,1,0,2,81.7,1848,0
2883,1,0,1,1,68,1,2,2,1,1,1,1,1,1,2,0,3,25.75,1181,0
5837,0,0,0,0,2,0,1,0,0,2,0,0,2,2,0,0,2,51.4,6468,0
3128,1,0,0,1,5,1,0,2,1,1,1,1,1,1,0,0,1,20.35,404,0
5899,1,1,0,0,67,1,2,1,0,0,0,0,0,0,0,1,3,75.7,4281,0
111,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2642,0
1391,1,0,1,0,29,1,2,1,0,2,2,0,0,0,0,1,2,85.8,2093,0
2600,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.1,5503,0
220,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2329,1
5890,0,0,0,0,69,1,2,0,2,0,2,2,2,2,2,1,1,85.35,4838,0
4071,0,0,0,0,16,0,1,0,2,0,0,0,2,0,0,1,2,38.9,5286,0
5658,1,0,1,0,24,1,2,1,0,0,0,0,2,2,0,1,2,93.0,1881,0
83,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3682,0
873,0,0,0,0,60,0,1,0,0,2,0,0,2,2,0,1,2,50.8,2631,1
6524,1,0,0,1,10,1,2,1,0,0,0,0,2,2,0,0,2,95.2,6397,1
4391,0,0,0,0,9,1,0,0,0,0,0,2,2,0,0,1,0,59.5,4435,0
461,0,0,1,0,24,1,0,0,0,2,0,0,2,2,0,1,0,69.45,1076,0
6188,1,0,0,0,18,1,0,2,1,1,1,1,1,1,0,0,3,20.05,3100,0
551,0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,0,115.6,6106,0
3405,0,0,1,1,64,1,2,1,2,0,0,2,0,0,0,1,0,86.8,4451,0
2374,1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,19.4,4231,0
6572,1,0,1,0,68,1,2,0,2,2,2,2,2,2,2,1,1,90.8,5098,0
2246,0,0,1,1,1,1,2,1,2,0,2,0,2,2,0,1,2,102.45,36,1
6627,0,0,1,0,59,1,0,2,1,1,1,1,1,1,1,0,3,20.35,488,0
3869,1,0,1,0,50,1,2,1,0,2,0,0,2,2,1,1,2,98.25,4096,0
2450,0,0,1,1,72,1,2,1,2,0,2,2,2,2,2,1,0,110.45,6043,0
2329,0,0,0,0,57,1,2,1,0,2,0,2,0,2,1,0,2,94.7,4541,0
6532,0,1,0,0,18,1,0,2,1,1,1,1,1,1,1,0,0,20.35,3184,0
2146,0,0,0,0,62,1,2,1,2,2,2,2,2,2,1,1,1,115.05,5597,0
6635,1,0,1,0,24,1,0,2,1,1,1,1,1,1,1,0,3,20.1,4457,0
5900,1,0,1,1,37,0,1,0,2,2,2,0,0,0,0,0,0,40.2,832,1
6211,0,0,1,1,5,1,0,1,0,0,0,2,2,0,0,1,2,85.75,3984,1
650,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55,1854,1
708,1,0,1,0,29,1,0,1,0,0,2,0,0,0,0,1,1,75.3,1899,0
6874,0,0,1,0,31,1,0,0,0,0,0,2,0,0,0,1,3,49.2,899,0
4977,1,0,1,1,24,1,0,2,1,1,1,1,1,1,1,1,1,20.8,3970,0
5784,0,0,1,0,18,1,0,1,2,0,0,0,0,0,0,0,2,74.8,806,0
6325,0,0,1,1,17,1,0,1,2,0,0,2,2,0,0,0,2,91.85,1026,1
6148,0,0,0,0,69,1,2,0,2,2,0,2,0,0,2,1,3,66.9,3894,0
1424,0,0,0,1,48,1,0,2,1,1,1,1,1,1,1,0,3,19.95,6409,0
1216,1,0,1,1,54,1,0,2,1,1,1,1,1,1,2,0,1,20.4,180,0
5842,0,0,0,0,13,1,2,0,2,0,2,0,2,2,0,1,2,78.75,6521,0
1924,0,1,1,1,22,1,2,1,0,0,0,0,2,0,0,0,0,85.35,1569,0
6108,1,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,3,25.15,4032,0
4434,0,0,1,0,16,1,2,1,2,2,2,0,0,0,0,0,2,90.7,676,0
314,1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,3547,1
3817,0,0,0,0,53,1,0,2,1,1,1,1,1,1,2,0,3,20.25,92,0
1427,1,1,0,0,44,1,0,1,0,0,2,0,0,0,0,0,2,73.85,2714,0
6460,1,0,0,0,44,1,0,1,0,2,0,2,2,2,0,0,2,100.55,3732,1
6328,0,0,0,0,70,1,2,0,2,2,2,2,2,2,2,0,1,89.75,5133,0
3956,0,0,1,0,6,1,2,1,0,2,2,0,2,2,0,1,2,105.3,4529,1
5694,0,0,1,0,33,1,0,0,0,0,0,2,0,0,1,1,3,51.45,1281,0
3008,0,0,0,0,11,1,0,2,1,1,1,1,1,1,1,0,3,20.0,1740,0
5828,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,0,24.45,1205,0
1105,0,0,1,0,9,1,0,1,0,0,0,0,0,2,0,1,2,79.75,5863,0
6530,1,1,1,0,63,0,1,0,2,0,0,2,0,0,1,0,0,36.1,1939,0
4317,0,0,0,1,3,1,0,2,1,1,1,1,1,1,1,1,1,20.55,4703,0
7042,1,0,0,0,66,1,0,1,2,0,2,2,2,2,2,1,0,105.65,5407,0
4882,0,0,0,0,66,0,1,0,2,2,2,2,2,2,2,1,0,62.5,3530,0
684,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,71.1,5565,0
5155,0,0,0,0,30,1,0,1,0,0,0,2,2,2,1,1,0,94.4,2285,0
2765,1,0,0,0,13,1,0,1,0,0,0,0,0,0,0,1,2,70.15,6402,0
5429,0,0,1,1,72,1,2,0,2,2,2,2,0,2,2,1,0,79.5,4682,0
4561,0,0,1,1,8,1,2,0,0,2,0,0,0,0,0,0,2,55.75,3789,0
2451,1,0,1,1,28,1,2,1,2,2,0,0,2,2,1,0,2,106.1,2461,1
5834,0,0,1,0,65,1,2,1,2,0,2,0,2,2,0,1,2,105.05,5461,0
326,0,1,1,0,11,1,0,1,0,0,0,2,2,0,0,1,2,82.9,6284,0
4988,0,0,1,0,26,1,0,2,1,1,1,1,1,1,1,0,3,19.2,3898,0
5889,1,1,1,0,59,0,1,0,0,2,0,0,2,2,0,1,2,50.25,2590,0
2176,1,0,1,1,67,1,0,2,1,1,1,1,1,1,2,1,1,19.4,517,0
3625,0,0,1,0,71,1,0,2,1,1,1,1,1,1,2,0,1,19.85,685,0
4894,1,1,1,0,57,1,2,0,0,2,2,0,2,0,1,1,1,71.1,3537,0
6093,0,0,1,0,71,0,1,0,0,0,2,2,0,2,2,1,2,47.05,2838,0
6094,1,0,0,0,57,1,0,2,1,1,1,1,1,1,2,0,1,20.55,460,0
2787,1,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,3,26.1,1417,0
5071,1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,1,75.35,5770,0
5755,1,1,1,0,15,1,2,1,2,0,2,0,2,0,0,1,2,96.5,717,0
1676,0,0,0,0,4,1,2,1,2,0,0,0,0,0,0,1,2,80.15,2774,0
348,0,0,0,0,23,0,1,0,0,0,0,0,2,2,0,1,2,44.95,6523,0
5138,1,1,0,0,71,1,2,1,0,2,0,2,2,2,2,1,2,106.8,5839,0
3599,0,0,1,1,45,1,2,0,2,2,2,2,2,0,0,0,3,81.3,3067,0
4925,1,0,1,0,64,1,2,1,2,0,2,2,2,2,1,1,3,108.5,5429,0
1626,1,0,0,0,20,1,2,0,2,0,0,2,0,0,0,0,0,59.2,356,0
4273,0,0,0,0,31,1,2,1,0,0,0,2,0,0,0,1,1,79.85,2049,1
3159,1,1,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,94.85,2908,0
5041,1,0,1,0,20,1,0,2,1,1,1,1,1,1,1,0,3,20.65,3563,0
871,1,0,1,1,57,1,0,1,0,2,2,0,2,2,1,1,1,97.55,4632,0
4883,1,1,0,0,8,0,1,0,0,0,2,0,0,0,0,1,2,29.4,1845,1
4108,1,0,1,1,33,1,0,2,1,1,1,1,1,1,1,1,0,19.45,4916,0
6145,0,0,1,1,67,0,1,0,2,2,2,2,2,0,2,0,1,54.2,3130,0
2218,0,0,1,1,71,1,0,0,2,0,2,2,2,2,2,1,1,82.0,4909,0
5521,1,0,0,0,59,1,0,0,0,0,2,2,2,0,0,1,2,64.65,3215,0
2121,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.45,1615,0
5985,0,0,1,0,57,1,2,0,0,2,2,2,2,0,1,0,0,74.6,3710,0
3357,0,0,0,1,1,1,0,0,0,0,2,0,0,2,0,0,2,59.2,4842,1
85,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6364,0
3937,0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,1,1,20.15,5378,0
1877,1,0,0,0,72,1,2,0,2,2,2,2,2,2,2,0,1,88.55,5130,0
2801,0,0,1,1,62,1,2,1,0,2,0,2,2,2,1,1,1,106.05,5321,0
5557,0,0,0,0,5,1,0,1,0,0,0,0,2,0,0,0,2,80.2,3286,0
2640,1,0,0,0,22,1,0,1,0,2,2,2,0,2,0,1,0,94.95,1762,0
6027,1,0,1,1,35,1,2,2,1,1,1,1,1,1,2,0,0,25.45,6052,0
2880,1,0,0,0,12,1,0,1,0,0,0,0,0,2,0,1,0,79.95,85,0
3323,0,0,0,1,28,1,0,2,1,1,1,1,1,1,0,0,3,20.25,4466,0
494,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.4,1614,0
2019,1,0,1,0,67,1,2,1,0,2,2,0,2,2,1,0,2,104.1,5541,1
2525,1,0,1,1,72,1,2,1,2,2,0,2,0,2,2,1,1,97.75,5494,0
4717,1,0,1,0,38,1,2,1,2,0,2,2,2,2,1,1,2,110.7,3764,0
3166,1,0,1,0,14,1,0,0,0,0,0,2,0,0,0,0,0,48.8,5286,0
3858,1,0,0,0,47,1,0,0,2,2,2,2,2,2,1,1,0,86.95,3534,0
1270,1,0,1,1,63,1,2,2,1,1,1,1,1,1,2,0,1,24.65,1027,0
4174,0,0,0,0,37,0,1,0,0,0,0,2,0,0,0,0,1,28.6,6493,1
3821,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.2,5715,1
2895,0,0,1,0,37,1,0,2,1,1,1,1,1,1,1,1,0,19.85,5610,0
3680,1,0,1,0,9,0,1,0,0,0,0,2,2,0,0,0,3,40.65,2852,1
5820,1,0,1,0,60,1,0,0,2,0,0,0,2,0,1,1,3,59.8,3084,0
618,0,0,0,0,57,1,2,1,2,2,0,2,0,0,0,1,0,87.55,4125,0
6025,0,0,0,1,41,1,0,0,0,0,0,0,0,0,0,0,0,45.2,1402,0
5185,0,0,0,1,50,1,0,0,2,0,2,2,2,0,1,1,1,70.8,3012,0
3664,1,0,0,0,4,1,0,0,0,0,0,2,0,0,0,1,3,50.8,1652,0
4531,1,0,1,1,9,1,2,1,0,0,2,0,0,0,0,1,0,79.35,5273,1
